width,best_epoch,best_val_loss,epoch_val_acc
32,10,0.6209,0.7876
32,7,0.6612,0.7048
32,14,0.6176,0.7982
32,12,0.6477,0.7858
32,12,0.6523,0.755
32,19,1.6492,0.3954
32,12,1.3866,0.4836
32,6,1.0958,0.5484
32,14,0.6006,0.7656
16,19,0.6485,0.7498
32,12,0.6292,0.7876
32,7,0.6278,0.7708
32,7,0.6242,0.7246
32,9,0.603,0.739
32,16,0.628,0.7544
32,13,0.6319,0.7872
32,14,0.6164,0.8134
32,11,0.6291,0.7246
32,15,0.6063,0.8044
32,9,0.6166,0.7556
32,13,0.6277,0.7908
32,15,0.6202,0.8056
32,14,0.6301,0.792
32,9,0.6262,0.7484
32,15,0.7005,0.7628
32,9,0.5493,0.8138
32,14,0.6388,0.8108
32,7,0.6185,0.7074
32,10,0.5309,0.831
32,7,0.648,0.7514
32,18,0.7113,0.7658
