epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.005,2.4369,0.152,2.3649,0.07
2,0.005,1.4808,0.532,2.1594,0.2
3,0.005,0.8312,0.804,2.0046,0.26
4,0.005,0.4805,0.908,1.9312,0.29
5,0.005,0.2461,0.95,1.898,0.33
6,0.005,0.1196,0.992,1.8811,0.36
7,0.005,0.066,0.996,1.8888,0.36
8,0.005,0.0368,1.0,1.9421,0.39
9,0.005,0.0192,1.0,2.0202,0.36
10,0.005,0.0145,1.0,2.0978,0.38
11,0.005,0.0086,1.0,2.1724,0.37
12,0.005,0.007,1.0,2.2362,0.37
13,0.005,0.0056,1.0,2.282,0.36
14,0.005,0.0051,1.0,2.3186,0.37
15,0.005,0.0052,1.0,2.3416,0.37
16,0.005,0.005,1.0,2.364,0.36
