epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.005,2.3547,0.1,2.3075,0.06
2,0.005,2.1644,0.25,2.3109,0.09
3,0.005,2.0319,0.294,2.3322,0.08
4,0.005,1.933,0.36,2.3891,0.08
5,0.005,1.8279,0.392,2.4626,0.08
6,0.005,1.7385,0.432,2.507,0.15
7,0.005,1.6535,0.468,2.4442,0.21
8,0.005,1.5756,0.496,2.3543,0.25
9,0.005,1.4927,0.506,2.1675,0.22
10,0.005,1.4193,0.574,2.1234,0.25
11,0.005,1.3489,0.596,2.0773,0.25
12,0.005,1.2695,0.644,1.9985,0.3
13,0.005,1.2229,0.666,1.9761,0.34
14,0.005,1.146,0.7,2.0496,0.29
15,0.005,1.0939,0.706,2.0046,0.31
16,0.005,1.0364,0.744,1.9124,0.27
17,0.005,0.9594,0.788,2.0643,0.3
18,0.005,0.8877,0.804,1.88,0.34
19,0.005,0.8365,0.826,2.538,0.25
20,0.005,0.7774,0.84,1.8607,0.37
21,0.005,0.7295,0.892,2.4712,0.24
22,0.005,0.69,0.878,1.85,0.38
23,0.005,0.6134,0.922,1.9865,0.32
24,0.005,0.5572,0.93,2.407,0.24
25,0.005,0.5186,0.938,2.4787,0.27
26,0.005,0.4762,0.94,2.085,0.33
27,0.005,0.4249,0.952,2.0309,0.33
28,0.005,0.3461,0.978,1.9812,0.38
29,0.005,0.3177,0.982,1.9641,0.37
30,0.005,0.2798,0.984,2.0149,0.3
