epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.005,1.4024,0.49,0.9676,0.5288
2,0.005,0.9846,0.6508,0.6215,0.6736
3,0.005,0.8131,0.7163,0.883,0.6838
4,0.005,0.6957,0.7563,0.8024,0.7352
5,0.005,0.61,0.7883,0.4244,0.7294
6,0.005,0.5463,0.8095,0.4764,0.7526
7,0.005,0.4948,0.8288,0.4084,0.745
8,0.005,0.4442,0.8481,0.407,0.7742
9,0.005,0.3988,0.8642,0.4281,0.7344
10,0.005,0.3618,0.8758,0.4961,0.6942
11,0.005,0.3305,0.8866,0.2592,0.7866
12,0.005,0.2923,0.8993,0.4429,0.7768
13,0.005,0.2597,0.9139,0.2497,0.7418
14,0.005,0.2366,0.92,0.1586,0.7848
15,0.005,0.2076,0.9309,0.1802,0.784
16,0.005,0.1861,0.9387,0.098,0.7748
17,0.005,0.1604,0.9491,0.1051,0.7356
18,0.005,0.1358,0.9573,0.1721,0.7806
19,0.005,0.1194,0.9637,0.1444,0.802
20,0.005,0.1044,0.9685,0.1456,0.7986
21,0.005,0.0883,0.9748,0.1335,0.7782
22,0.005,0.0705,0.9816,0.05,0.7828
23,0.005,0.0619,0.9838,0.1083,0.8052
24,0.005,0.0465,0.9898,0.1277,0.8076
25,0.005,0.0353,0.9931,0.023,0.7996
26,0.005,0.0322,0.9941,0.0307,0.7982
27,0.005,0.0237,0.9964,0.0691,0.7794
28,0.005,0.0181,0.998,0.0105,0.829
29,0.005,0.0131,0.999,0.0261,0.818
30,0.005,0.0096,0.9995,0.0104,0.8118
