epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.005,1.3809,0.4993,1.2082,0.5702
2,0.005,0.9732,0.6543,0.989,0.65
3,0.005,0.8029,0.719,0.8303,0.7162
4,0.005,0.6894,0.7599,0.8705,0.6964
5,0.005,0.6022,0.79,0.7176,0.7482
6,0.005,0.5384,0.8146,0.8589,0.7046
7,0.005,0.4793,0.8352,0.7313,0.7586
8,0.005,0.4365,0.8503,0.7245,0.7502
9,0.005,0.3971,0.8643,0.6601,0.7866
10,0.005,0.3545,0.8796,0.6209,0.7958
11,0.005,0.3173,0.8917,0.767,0.7534
12,0.005,0.2853,0.9026,0.661,0.7852
13,0.005,0.2538,0.9149,0.7662,0.7584
14,0.005,0.2197,0.9277,0.9514,0.7214
15,0.005,0.2021,0.9321,0.7206,0.7842
16,0.005,0.1703,0.9454,0.8134,0.7638
17,0.005,0.1551,0.9506,0.6715,0.7832
18,0.005,0.127,0.9617,0.8414,0.7708
19,0.005,0.1117,0.9664,0.8146,0.7724
20,0.005,0.092,0.974,0.7821,0.7876
