epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.005,1.3819,0.4993,1.2741,0.5466
2,0.005,0.98,0.6487,1.229,0.574
3,0.005,0.8106,0.714,0.9943,0.6454
4,0.005,0.698,0.7549,0.9168,0.6768
5,0.005,0.6083,0.7874,0.7345,0.737
6,0.005,0.5422,0.8125,0.7932,0.7264
7,0.005,0.4888,0.8311,0.6927,0.7632
8,0.005,0.4352,0.85,0.757,0.7438
9,0.005,0.3916,0.8668,0.6597,0.775
10,0.005,0.3549,0.8795,0.9133,0.705
11,0.005,0.3172,0.8918,0.7202,0.7698
12,0.005,0.282,0.9036,0.6477,0.787
13,0.005,0.2551,0.9134,0.6765,0.7874
14,0.005,0.2242,0.9264,0.7832,0.7732
15,0.005,0.1982,0.9362,0.6994,0.7852
16,0.005,0.1688,0.9457,0.7047,0.791
17,0.005,0.1442,0.9541,0.7834,0.7696
18,0.005,0.1295,0.9603,0.7658,0.7854
19,0.005,0.1095,0.9682,0.7174,0.7952
20,0.005,0.0917,0.9745,1.2039,0.7282
21,0.005,0.0731,0.98,1.5207,0.6644
22,0.005,0.0639,0.984,0.8058,0.7858
