epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.005,2.244,0.1767,2.2997,0.0867
2,0.005,1.9624,0.2792,2.2812,0.1467
3,0.005,1.7757,0.3617,2.217,0.1567
4,0.005,1.6633,0.395,1.8348,0.2567
5,0.005,1.5668,0.4192,1.638,0.3933
6,0.005,1.4567,0.4858,1.5563,0.4433
7,0.005,1.3666,0.525,1.4313,0.4933
8,0.005,1.2957,0.5642,1.4507,0.4833
9,0.005,1.2682,0.56,1.4623,0.4633
10,0.005,1.1676,0.6017,1.5352,0.4667
11,0.005,1.1159,0.6367,1.3295,0.51
12,0.005,1.0225,0.6533,1.1984,0.58
13,0.005,0.9407,0.7025,1.2041,0.5833
14,0.005,0.9048,0.7267,1.8511,0.3867
15,0.005,0.8764,0.7325,1.1506,0.59
16,0.005,0.8173,0.7408,1.1738,0.5633
17,0.005,0.765,0.7742,1.1492,0.5967
18,0.005,0.736,0.7667,0.9822,0.64
19,0.005,0.6965,0.7908,0.9597,0.69
20,0.005,0.6541,0.8125,1.1885,0.6233
21,0.005,0.7072,0.765,1.1861,0.5667
22,0.005,0.6431,0.795,1.5494,0.5567
23,0.005,0.5716,0.8375,0.8268,0.72
24,0.005,0.5512,0.8375,0.8722,0.6633
25,0.005,0.4881,0.8625,0.7121,0.7267
26,0.005,0.502,0.8442,0.7358,0.7367
27,0.005,0.4983,0.85,0.9013,0.67
28,0.005,0.4782,0.8583,0.7671,0.7267
29,0.005,0.4348,0.8792,0.7249,0.7533
30,0.005,0.3667,0.9133,0.536,0.8
