epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.005,2.287,0.166,2.3029,0.0982
2,0.005,1.9876,0.324,2.3031,0.1004
3,0.005,1.7977,0.364,2.3257,0.1004
4,0.005,1.6862,0.426,2.4163,0.1044
5,0.005,1.5393,0.482,2.5956,0.1112
6,0.005,1.437,0.548,2.7734,0.1154
7,0.005,1.3148,0.6,2.7357,0.122
8,0.005,1.1942,0.638,2.6288,0.1708
9,0.005,1.0958,0.714,2.383,0.2006
10,0.005,0.9978,0.76,2.3686,0.2114
11,0.005,0.8988,0.79,1.9998,0.2788
12,0.005,0.8173,0.81,1.8983,0.3156
13,0.005,0.7561,0.838,1.905,0.3416
14,0.005,0.6587,0.862,1.8937,0.3394
15,0.005,0.5651,0.892,1.752,0.37
16,0.005,0.4963,0.928,1.8487,0.3564
17,0.005,0.4427,0.928,1.854,0.3818
18,0.005,0.3858,0.946,1.7642,0.3922
19,0.005,0.3412,0.96,1.9339,0.3808
20,0.005,0.2919,0.98,1.7789,0.4002
21,0.005,0.2401,0.986,1.9959,0.3802
22,0.005,0.2075,0.986,1.8682,0.4018
23,0.005,0.1867,0.986,1.8022,0.4176
24,0.005,0.1421,0.998,1.9423,0.3712
25,0.005,0.137,0.994,1.9933,0.3896
26,0.005,0.1239,0.99,1.7967,0.4234
27,0.005,0.094,0.994,1.8808,0.3878
28,0.005,0.0903,1.0,1.8673,0.4222
29,0.005,0.0702,1.0,1.7029,0.4464
30,0.005,0.0616,1.0,1.761,0.423
31,0.005,0.0495,1.0,1.874,0.41
32,0.005,0.0477,0.998,1.7498,0.4504
33,0.005,0.0417,0.998,1.7482,0.4386
34,0.005,0.032,1.0,1.832,0.4118
35,0.005,0.0333,1.0,1.7407,0.4546
36,0.005,0.0264,1.0,1.9428,0.4164
37,0.005,0.0247,1.0,1.6825,0.452
38,0.005,0.0225,1.0,1.7332,0.4424
39,0.005,0.02,1.0,1.7341,0.447
40,0.005,0.0189,1.0,1.7782,0.4498
41,0.005,0.0166,1.0,1.7252,0.4568
42,0.005,0.0167,1.0,1.7023,0.4494
43,0.005,0.0146,1.0,1.6884,0.4614
44,0.005,0.0144,1.0,1.7257,0.4602
45,0.005,0.0138,1.0,1.7125,0.4622
46,0.005,0.0144,1.0,1.6973,0.4556
47,0.005,0.0122,1.0,1.6975,0.463
48,0.005,0.0117,1.0,1.7084,0.4656
49,0.005,0.0125,1.0,1.7082,0.466
50,0.005,0.0117,1.0,1.7003,0.4624
51,0.005,0.0106,1.0,1.7057,0.4654
52,0.005,0.0108,1.0,1.7114,0.4638
53,0.005,0.0104,1.0,1.7136,0.4622
54,0.005,0.0094,1.0,1.7042,0.4644
55,0.005,0.0092,1.0,1.7065,0.4626
56,0.005,0.0092,1.0,1.7121,0.4644
57,0.005,0.0081,1.0,1.7135,0.466
58,0.005,0.0088,1.0,1.7148,0.4666
59,0.005,0.0078,1.0,1.7228,0.4634
60,0.005,0.0083,1.0,1.7224,0.4648
61,0.005,0.0075,1.0,1.7328,0.4658
62,0.005,0.0077,1.0,1.7227,0.465
63,0.005,0.0075,1.0,1.7258,0.4656
64,0.005,0.008,1.0,1.732,0.4676
65,0.005,0.0064,1.0,1.7248,0.4674
66,0.005,0.0062,1.0,1.7271,0.4652
67,0.005,0.0073,1.0,1.7417,0.4628
68,0.005,0.0064,1.0,1.7338,0.4646
69,0.005,0.0064,1.0,1.7307,0.4656
70,0.005,0.0065,1.0,1.7335,0.464
71,0.005,0.0058,1.0,1.7444,0.467
72,0.005,0.0063,1.0,1.7396,0.4686
73,0.005,0.0063,1.0,1.7377,0.4672
74,0.005,0.0056,1.0,1.7388,0.4662
75,0.005,0.0057,1.0,1.7497,0.4642
76,0.005,0.0058,1.0,1.7546,0.4654
77,0.005,0.0057,1.0,1.7507,0.466
78,0.005,0.0058,1.0,1.7436,0.4642
79,0.005,0.0064,1.0,1.7417,0.464
80,0.005,0.0049,1.0,1.746,0.4628
81,0.005,0.0061,1.0,1.7453,0.4652
82,0.005,0.0052,1.0,1.7549,0.4658
83,0.005,0.0053,1.0,1.759,0.4618
84,0.005,0.0051,1.0,1.7552,0.465
85,0.005,0.0047,1.0,1.7576,0.4658
86,0.005,0.0048,1.0,1.7642,0.4672
87,0.005,0.0051,1.0,1.7625,0.469
88,0.005,0.0051,1.0,1.7585,0.4676
89,0.005,0.0048,1.0,1.7512,0.467
90,0.005,0.0051,1.0,1.7543,0.4686
91,0.005,0.0045,1.0,1.7692,0.4624
92,0.005,0.0042,1.0,1.7676,0.4594
93,0.005,0.0043,1.0,1.7687,0.4626
94,0.005,0.004,1.0,1.7672,0.4668
95,0.005,0.0042,1.0,1.7607,0.466
96,0.005,0.0043,1.0,1.7556,0.469
97,0.005,0.0039,1.0,1.7558,0.4674
98,0.005,0.0036,1.0,1.765,0.4666
99,0.005,0.0039,1.0,1.7732,0.4666
100,0.005,0.0036,1.0,1.7733,0.4668
